,index,coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,Seed,BS,LR,ME,OPT,Band
0,0,0.163,0.484,0.039,0.162,0.202,-1.0,18,2,0.0005,130,SGD,b3
14,14,0.095,0.327,0.023,0.091,0.27,-1.0,42,2,0.0005,130,SGD,b3
15,15,0.173,0.561,0.042,0.163,0.393,-1.0,89,2,0.0005,130,SGD,b3
24,24,0.141,0.454,0.034,0.147,0.155,-1.0,53,2,0.0005,130,SGD,b3
30,30,0.208,0.63,0.074,0.2,0.427,-1.0,71,2,0.0005,130,SGD,b3
36,36,0.173,0.497,0.086,0.175,0.303,-1.0,71,2,0.001,130,SGD,b8
41,41,0.164,0.488,0.062,0.174,0.121,-1.0,42,2,0.001,130,SGD,b8
56,56,0.165,0.446,0.11,0.165,0.317,-1.0,53,2,0.001,130,SGD,b8
60,60,0.148,0.43,0.069,0.147,0.284,-1.0,18,2,0.001,130,SGD,b8
65,65,0.198,0.507,0.105,0.184,0.508,-1.0,89,2,0.001,130,SGD,b8
69,69,0.12,0.38,0.032,0.116,0.255,-1.0,71,2,0.001,130,SGD,b4
74,74,0.091,0.348,0.008,0.091,0.26,-1.0,42,2,0.001,130,SGD,b4
89,89,0.135,0.386,0.031,0.127,0.368,-1.0,53,2,0.001,130,SGD,b4
93,93,0.075,0.29,0.007,0.073,0.195,-1.0,18,2,0.001,130,SGD,b4
98,98,0.081,0.305,0.003,0.075,0.263,-1.0,89,2,0.001,130,SGD,b4
138,138,0.127,0.405,0.032,0.116,0.348,-1.0,18,2,0.0011,130,SGD,b2
139,139,0.153,0.496,0.04,0.141,0.329,-1.0,42,2,0.0011,130,SGD,b2
